"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"785","RT @Wipro: How can organizations gain a competitive advantage? By creating a strong and diverse team that can challenge the status quo, say…",FALSE,0,NA,2019-09-13 02:16:31,FALSE,NA,"1172333203404681216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KamalRa29718563",1303,TRUE,FALSE,NA,NA
"786","RT @Paralympics: It's official! Here's your first look at the just announced Team @Citi comprised of 41 Para athletes from across the globe…",FALSE,0,NA,2019-09-13 02:16:25,FALSE,NA,"1172333180935757824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChessaUlyThalia",153,TRUE,FALSE,NA,NA
"787","RT @Wipro: Transforming cultures, mindsets and ways of working doesn't happen by chance, or in a vacuum. Inclusion champion Rachel Higham f…",FALSE,0,NA,2019-09-13 02:16:00,FALSE,NA,"1172333074949894148",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chaitu8799",813,TRUE,FALSE,NA,NA
"788","RT @Wipro: Businesses are powerful platforms for social change. @tony_prophet of @salesforce says that it is every company's responsibility…",FALSE,0,NA,2019-09-13 02:15:44,FALSE,NA,"1172333006159114243",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nikhilkanoje6",897,TRUE,FALSE,NA,NA
"789","RT @MingYLong: #Leadership must intervene to improve the outcome for #diversity #inclusion Sally Bruce, CEO @AMPBank #asianausleadership",FALSE,0,NA,2019-09-13 02:12:05,FALSE,NA,"1172332090613854209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeingDianaN",4,TRUE,FALSE,NA,NA
"790","RT @MingYLong: Unfortunately due to #RoyalCommission there is a tendency to become more conservative and the risk is that #culturaldiversit…",FALSE,0,NA,2019-09-13 02:11:42,FALSE,NA,"1172331991963881472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeingDianaN",1,TRUE,FALSE,NA,NA
"791","RT @jwagner1006: Every grade level is reading a Diane Alber book about #inclusion, #kindness, #individuality, and #community   Today I am h…",FALSE,0,NA,2019-09-13 02:11:35,FALSE,NA,"1172331964545695748",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trtomasko",1,TRUE,FALSE,NA,NA
"792","Conscious #inclusion means not just creating initiatives, but creating a culture where people can speak out and rai… https://t.co/jihoSSVs6s",FALSE,0,NA,2019-09-13 02:11:00,TRUE,NA,"1172331814926635008",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","3PlusInt",0,FALSE,FALSE,NA,NA
"793","I was tagged in this post today! Made my day!! Love seeing my book and Sonia Sotomayor’s gifted to a school library… https://t.co/ZiTFMjBtYV",FALSE,2,NA,2019-09-13 02:10:48,TRUE,NA,"1172331767853764609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tracieloux",0,FALSE,FALSE,NA,NA
"794","Unfortunately due to #RoyalCommission there is a tendency to become more conservative and the risk is that… https://t.co/FlZDjVHfuc",FALSE,3,"MingYLong",2019-09-13 02:10:31,TRUE,"1172331036090388480","1172331696273780737","2545759886","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MingYLong",1,FALSE,FALSE,NA,NA
"795","RT @AsieduEdmund: For people with disabilities, 25 years under the ADA has opened a new world https://t.co/GilUlfDNAt. #ADA #DisabilityRigh…",FALSE,0,NA,2019-09-13 02:08:23,FALSE,NA,"1172331156093599745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gideonkitty",8,TRUE,FALSE,NA,NA
"796","RT @AAVMC: What should you do when you witness an act of discrimination or marginalization? That's the latest topic on the AAVMC's #Diversi…",FALSE,0,NA,2019-09-13 02:08:09,FALSE,NA,"1172331097134227457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zenvet23",4,TRUE,FALSE,NA,NA
"797","RT @ChoateCo: Congratulations @BrewableA on your successful grand opening. It has been an honor to be a part of your vision to open a coffe…",FALSE,0,NA,2019-09-13 02:05:04,FALSE,NA,"1172330324807667714",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aidenswagon",4,TRUE,FALSE,NA,NA
"798","Growing older doesn't determine capacity for growth or longevity. Being younger doesn't discount a person from lead… https://t.co/4lW24tifFA",FALSE,0,NA,2019-09-13 02:05:03,TRUE,NA,"1172330317224431616",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","SheilaCallaham",0,FALSE,FALSE,NA,NA
"799","RT @MingYLong: #Leadership must intervene to improve the outcome for #diversity #inclusion Sally Bruce, CEO @AMPBank #asianausleadership",FALSE,0,NA,2019-09-13 02:04:42,FALSE,NA,"1172330231836708866",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","redrabbleroz",4,TRUE,FALSE,NA,NA
"800","RT @ICMA: Hear how the city of #Bruges supports integration, reduces the ethnic gap, and adopts a multidisciplinary approach to #inclusion…",FALSE,0,NA,2019-09-13 02:03:59,FALSE,NA,"1172330051200638976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JoshClements",1,TRUE,FALSE,NA,NA
