"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","Forest Hills Gardens, while nice, is not like the rest of Queens.  There is a notable lack of #diversity https://t.co/gbzuGOHOua",FALSE,0,NA,2019-09-13 11:53:51,FALSE,NA,"1172478494758121472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sean808080",0,FALSE,FALSE,NA,NA
"65","Lovely illustrations of #Diversity and #WomenInSTEM!!

I have to say the brunette oceanographer diving on a coral r… https://t.co/PaoAcGnCRU",FALSE,2,NA,2019-09-13 11:52:58,TRUE,NA,"1172478271142936577",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HeatherNicoPage",3,FALSE,FALSE,NA,NA
"66","This is how @BurgerKing_ID breaks down social stigma + create social #inclusion for the #disability community.

Whe… https://t.co/4EIUs1DoyB",FALSE,0,NA,2019-09-13 11:52:25,TRUE,NA,"1172478133993263104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CookieProjectNZ",0,FALSE,FALSE,NA,NA
"67","#Diversity of thought within an organisation creates the opportunity for business growth. Diverse teams open up the… https://t.co/m6bXQBHmLN",FALSE,0,NA,2019-09-13 11:52:14,TRUE,NA,"1172478090058051586",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","InterSearchIE",0,FALSE,FALSE,NA,NA
"68","Always inspiring <U+0001F4FB><U+0001F680> @MotorbikeChic on the @LeadersBiz #podcast talking #sport #advertising #diversity #inclusion at… https://t.co/mT5w7Z5zJ7",FALSE,2,NA,2019-09-13 11:48:23,TRUE,NA,"1172477118795669506",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SportEducation",1,FALSE,FALSE,NA,NA
"69","It is so important for girls to understand from an early age that STEM careers are a very viable option for them. T… https://t.co/kRpEu3XYhb",FALSE,1,NA,2019-09-13 11:48:02,TRUE,NA,"1172477032493715457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeticiaSLewis",2,FALSE,FALSE,NA,NA
"70","“The most common disability type, mobility, affects 1 in 7 adults. With age, disability becomes more common, affect… https://t.co/k4bTcKUqT7",FALSE,0,NA,2019-09-13 11:46:28,TRUE,NA,"1172476638812151809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TMODOM",3,FALSE,FALSE,NA,NA
"71","Come join us @drinkrelaxplay Brighton tonight for Women in Games drinks! sign up here - https://t.co/cwT6TUfbYU… https://t.co/yuxQBxhY1R",FALSE,3,NA,2019-09-13 11:46:15,TRUE,NA,"1172476582495182848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hangar13Games",1,FALSE,FALSE,NA,NA
"72","A pleasure to discuss with members of #womennetwork ""SWAN"" &amp; #Youngtalents about #Diversity &amp; the added value it br… https://t.co/qlehqiTQ2v",FALSE,3,NA,2019-09-13 11:45:03,TRUE,NA,"1172476280366870528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GirosCalpeAna",1,FALSE,FALSE,NA,NA
"73","Delighted to be featured @HERoesinB! #HERRoleModels19 as one of these 100 incredible Women Execs championing… https://t.co/eDWLj2rOLs",FALSE,3,NA,2019-09-13 11:43:20,TRUE,NA,"1172475847007191041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SimoneRoche",2,FALSE,FALSE,NA,NA
"74","Read my piece in @Educ_Technology on #STEM #Diversity and #socialmobility https://t.co/bJUbvfYA9B",FALSE,3,NA,2019-09-13 11:42:39,FALSE,NA,"1172475677167226880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rebecca_mck",2,FALSE,FALSE,NA,NA
"75","“1 in 4 adults  in the U.S. live with a disability” https://t.co/bs0h62O3eq @BestWestern #diversity",FALSE,0,NA,2019-09-13 11:42:30,FALSE,NA,"1172475637233266689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TMODOM",2,FALSE,FALSE,NA,NA
"76","Finally published: Comparison of two field-induced ErIII single ion magnets @ucdchemistry @UPlasmonics #chemistry… https://t.co/bIBoDDb5ni",FALSE,5,NA,2019-09-13 11:39:53,TRUE,NA,"1172474978794708997",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IrinaAKhne1",2,FALSE,FALSE,NA,NA
"77","“I think... if it is true that there are as many minds as there are heads, then there are as many kinds of love as… https://t.co/KWBRa74cRf",FALSE,0,NA,2019-09-13 11:39:19,TRUE,NA,"1172474839489273856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheInkEventsCo",0,FALSE,FALSE,NA,NA
"78","Book your place on our Inclusive Recruitment open course, taking place on Thurs 17 October. This course is perfect… https://t.co/KTwccnKIOH",FALSE,0,NA,2019-09-13 11:39:03,TRUE,NA,"1172474771927425024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","theewgroup",0,FALSE,FALSE,NA,NA
"79","Diversity in the life sciences industry is key to driving not only profitability for a company, but in creating nov… https://t.co/9MnELIumfo",FALSE,0,NA,2019-09-13 11:37:01,TRUE,NA,"1172474256904658944",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","ClinTrials365",0,FALSE,FALSE,NA,NA
